Kruskal's Minimum Spanning Tree:
549 - 2428 (Weight: 1)
550 - 859 (Weight: 1)
550 - 920 (Weight: 1)
550 - 2244 (Weight: 1)
550 - 2260 (Weight: 1)
550 - 2935 (Weight: 1)
550 - 2941 (Weight: 1)
550 - 2958 (Weight: 1)
550 - 3016 (Weight: 1)
550 - 3925 (Weight: 1)
550 - 3946 (Weight: 1)
550 - 4355 (Weight: 1)
550 - 5334 (Weight: 1)
550 - 5339 (Weight: 1)
550 - 5354 (Weight: 1)
550 - 5355 (Weight: 1)
550 - 5358 (Weight: 1)
551 - 892 (Weight: 1)
551 - 2197 (Weight: 1)
551 - 2204 (Weight: 1)
551 - 3248 (Weight: 1)
551 - 3257 (Weight: 1)
551 - 3296 (Weight: 1)
552 - 1550 (Weight: 1)
552 - 3052 (Weight: 1)
563 - 4841 (Weight: 1)
563 - 4902 (Weight: 1)
570 - 4355 (Weight: 1)
579 - 2275 (Weight: 1)
579 - 2688 (Weight: 1)
579 - 3064 (Weight: 1)
629 - 2540 (Weight: 1)
629 - 3869 (Weight: 1)
629 - 6066 (Weight: 1)
629 - 6073 (Weight: 1)
629 - 6084 (Weight: 1)
629 - 6094 (Weight: 1)
631 - 3537 (Weight: 1)
631 - 3612 (Weight: 1)
653 - 875 (Weight: 1)
653 - 4553 (Weight: 1)
686 - 1516 (Weight: 1)
700 - 1629 (Weight: 1)
700 - 2142 (Weight: 1)
700 - 4681 (Weight: 1)
724 - 5274 (Weight: 1)
801 - 4773 (Weight: 1)
801 - 4793 (Weight: 1)
801 - 4817 (Weight: 1)
801 - 4819 (Weight: 1)
801 - 4822 (Weight: 1)
819 - 5743 (Weight: 1)
819 - 6043 (Weight: 1)
820 - 3197 (Weight: 1)
820 - 4017 (Weight: 1)
822 - 5699 (Weight: 1)
829 - 1033 (Weight: 1)
829 - 2387 (Weight: 1)
829 - 2389 (Weight: 1)
836 - 843 (Weight: 1)
836 - 990 (Weight: 1)
843 - 845 (Weight: 1)
843 - 1020 (Weight: 1)
844 - 1336 (Weight: 1)
847 - 854 (Weight: 1)
847 - 5812 (Weight: 1)
847 - 5814 (Weight: 1)
847 - 5821 (Weight: 1)
848 - 3094 (Weight: 1)
854 - 3348 (Weight: 1)
856 - 902 (Weight: 1)
856 - 2465 (Weight: 1)
